,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,lattice_constant,atomic_mass,atomic_radius,max_min_radius
465,MINFM54253,241.0,205.0,0.0,1.75,0.0,18.0,0.0,59.7449,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.80825363,49.956237905,1.2653036,0.5499999999999999
466,MINFM53997,201.0,205.0,0.0,0.0,0.0,17.0,0.0,68.0249,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.72351463,51.523314404999994,1.2983486,0.04999999999999982
467,MINFM7405,90.0,290.0,0.0,0.0,0.0,18.0,0.0,66.4349,0.0,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0,2.71072063,51.169346605,1.2907385999999998,0.7499999999999999
480,MINFM53152,155.0,335.0,0.0,0.0,0.0,15.5,2.5,72.2649,0.0,0.0,0.0,0.15,3.6,0.0,0.0,0.0,0.0,2.74232263,52.25670087500001,1.3132335999999998,0.09999999999999987
481,MINFM26425,67.5,185.0,0.0,0.0,0.0,0.0,0.0,97.8199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80743113,54.627523155000006,1.3694785999999999,0.0
482,MINFM21830,103.0,215.0,0.0,0.0,0.0,0.0,0.0,98.1799,0.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.91871313,55.38713756,1.3891185999999998,0.3999999999999999
483,MINFM21837,103.0,215.0,0.0,0.0,0.0,0.0,0.0,98.1299,0.9,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.92251313,55.375247560000005,1.3889185999999998,0.3999999999999999
485,MINFM21704,176.5,140.0,0.0,0.0,0.36,0.0,0.0,98.5599,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89486113,55.413642945,1.3907585999999998,0.7
510,MINFM27919,165.5,735.0,0.0,0.0,0.34,1.3,0.0,96.0099,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8860321300000003,54.77918347000001,1.3799185999999999,0.7
512,MINFM27949,86.0,255.0,0.0,0.0,0.1,0.7,0.0,96.7899,0.4,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8579051300000002,55.073943485,1.3786086,0.75
