,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio,max_min_radius
92,MINFM50523,46.0,380.0,0.0,0.0,0.0,17.0,0.0,61.1799,11.5,0.0,0.2,0.0,2.5,0.0,0.0,0.0,0.0,204.289589,3.3638911300000003,1685.964172,0.419916957,50.81847573,1.08827282e-05,2.501699e-07,1.2905685999999998,7112.855326,0.22087171,0.7499999999999999
95,MINFM6784,52.5,200.0,0.0,0.0,0.15,0.0,0.0,99.1349,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.76863899999998,2.87719663,1802.639992,0.441665107,55.544715090000004,1.1773668200000001e-05,1.1845489999999999e-07,1.3931386,7831.692525999999,0.28749121,0.7
96,MINFM6852,58.0,220.0,0.0,0.0,0.22,0.0,0.0,99.0549,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.599839,2.87739963,1803.8675919999998,0.44180840699999996,55.50844658,1.1769198200000002e-05,1.253749e-07,1.3925086,7826.980226,0.28725921,0.7
100,MINFM6901,74.5,285.0,0.0,0.0,0.35,0.0,0.0,98.6149,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.265439,2.89608263,1805.429392,0.442214507,55.44315662500001,1.17916082e-05,1.4225489999999998e-07,1.3914586,7817.691726,0.28598321,0.7
103,MINFM6903,78.0,300.0,0.0,0.0,0.37,0.0,0.0,98.4949,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.21023899999997,2.90224263,1805.5407919999998,0.442302107,55.43348281,1.1800568200000003e-05,1.4557489999999999e-07,1.3913185999999997,7816.166326,0.28563521,0.7
110,MINFM7096,50.5,195.0,0.0,0.0,0.08,0.0,0.0,98.8999,0.5,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,209.668789,2.89410913,1799.059992,0.44166595700000005,55.54059994,1.1784368200000001e-05,7.999999999999998e+19,1.3929585999999998,7828.109726,0.28680971,0.7
112,MINFM7045,93.5,490.0,0.0,0.0,0.6,0.0,0.0,98.3349,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.67463899999998,2.89697163,1809.916992,0.44275160700000005,55.31681737500001,1.1776318200000002e-05,1.669749e-07,1.3892885999999998,7801.312026,0.28517121,0.7
115,MINFM7050,96.0,505.0,0.0,0.0,0.7,0.0,0.0,98.3349,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.476639,2.89165163,1812.219992,0.442985607,55.273890030000004,1.1761718200000002e-05,1.755349e-07,1.3885885999999998,7796.109026,0.28517121,0.7
122,MINFM8513,138.5,931.0,0.0,0.0,0.37,0.35,0.0,96.5099,0.7,0.15,0.0,0.0,0.35,0.0,0.15,0.0,0.0,207.26238899999998,2.88054313,1790.0074919999997,0.43819805700000003,54.898411059999994,1.1641488200000002e-05,1.6443689000000001e-06,1.3769785999999997,7734.9504259999985,0.28216370999999996,0.75
123,MINFM8691,194.0,498.5,0.0,0.0,0.15,0.3,0.0,97.1749,0.75,0.08,0.0,0.0,0.3,0.0,0.15,0.0,0.0,208.294739,2.8908146299999995,1790.434192,0.43917710699999996,55.148323042499996,1.17026782e-05,1.6236158999999999e-06,1.3830585999999998,7770.840125999999,0.28361520999999995,0.75
129,MINFM67298,192.0,205.0,0.0,0.0,0.0,17.0,0.0,65.1449,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,202.885739,2.67605863,1695.259792,0.41142190700000003,50.501912405000006,9.726098200000001e-06,9.32149e-08,1.2715286,7145.029426000001,0.25252021,0.04999999999999982
134,MINFM66709,235.0,550.0,0.0,0.0,0.38,0.8,0.0,96.7749,0.75,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,208.476039,2.89359063,1799.4831919999997,0.440327107,55.103625952499996,1.1659468200000001e-05,1.6466734000000001e-06,1.3830336,7760.730226,0.28279221,0.75
139,MINFM66670,192.0,205.0,0.0,0.0,0.0,17.0,0.0,64.8449,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,202.252739,2.66744863,1689.8357919999999,0.41009290699999995,50.334377405,9.690698200000001e-06,9.291489999999999e-08,1.2673286,7121.407426,0.25165021,0.04999999999999982
144,MINFM66154,223.0,275.0,0.0,0.0,0.0,11.5,0.0,84.2799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.91558899999998,2.75003313,1768.730592,0.42947995699999997,53.045661654999996,1.0508528200000001e-05,9.88849e-08,1.3409186,7457.299325999999,0.26856170999999995,0.0
158,MINFM53970,127.5,155.0,0.0,0.0,0.0,16.0,0.0,67.7599,5.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,205.50338899999997,3.01765913,1709.743992,0.41999635700000004,51.235753630000005,1.04421682e-05,1.697999e-07,1.2968886,7200.444526,0.24095371,0.04999999999999982
163,MINFM66458,331.0,1105.0,0.0,0.0,0.0,11.0,1.5,71.9799,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.8,0.0,200.44558899999998,2.72437313,1700.9595919999997,0.41573495699999996,51.65487715500001,1.0353928200000002e-05,9.480789999999999e-08,1.2944185999999998,7291.053325999999,0.26275170999999997,0.04999999999999982
165,MINFM54248,217.0,205.0,0.0,1.25,0.0,18.0,0.0,60.5049,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,201.885339,2.78641563,1716.6110919999999,0.421849207,50.326604905,9.704578200000002e-06,12500000000.0,1.2716935999999999,7149.065825999999,0.25046420999999996,0.5499999999999999
176,MINFM21848,251.5,577.5,0.0,0.0,0.4,0.0,0.0,97.2099,1.3,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,207.686889,2.94280813,1793.405192,0.441295257,55.11964904,1.1781268200000001e-05,2.1999999999999997e+20,1.3841386,7764.797525999999,0.28190871,0.7
179,MINFM21933,289.5,702.5,0.0,0.0,0.2,3.0,0.0,94.8699,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.916989,2.87048613,1806.6192919999999,0.439611657,55.2429512575,1.14750982e-05,1.254074e-07,1.3844036,7768.664926,0.28281771,0.75
180,MINFM26242,86.0,255.0,0.0,0.0,0.15,0.0,0.0,97.9099,0.6,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,207.77788899999996,2.88336713,1785.5833919999998,0.438694157,55.070318975,1.1694218200000001e-05,1.4e+20,1.3815885999999997,7760.390025999999,0.28393871,0.7
181,MINFM26257,107.0,305.0,0.0,0.0,0.35,0.0,0.0,97.8399,0.5,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,207.432189,2.87646713,1790.3249919999998,0.439109457,54.990691330000004,1.16784582e-05,1.0999999999999998e+20,1.3803086,7751.3542259999995,0.28373571,0.7
192,MINFM27960,316.0,300.0,0.0,0.0,0.17,0.8,0.0,97.1699,0.4,0.15,0.0,0.0,0.0,0.0,0.17,0.0,0.0,208.62588899999997,2.8674011299999997,1793.6298919999997,0.43905495699999997,55.112325175,1.16157382e-05,1.8210284000000003e-06,1.3824135999999998,7761.392825999999,0.28393771,0.75
193,MINFM48701,98.5,365.0,0.0,0.0,0.1,0.5,0.0,96.9399,0.45,0.4,0.0,0.0,0.0,0.0,0.15,0.0,0.22,208.49728899999997,2.86753913,1792.8063919999997,0.437866757,55.1932591075,1.1609738199999999e-05,1.6147149e-06,1.3815785999999997,7762.686725999998,0.28422970999999997,0.75
196,MINFM27280,180.0,320.0,0.0,0.0,0.14,0.0,0.0,97.4399,0.6,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.05,206.93008899999995,2.86560413,1780.1044919999997,0.43695375699999994,54.834971505,1.16466682e-05,1.8201799000000003e-06,1.3760835999999999,7727.427525999999,0.28276070999999997,0.7
205,MINFM28020,329.5,700.0,0.0,0.0,0.38,0.9,0.0,96.8099,0.5,0.15,0.0,0.0,0.0,0.0,0.17,0.0,0.0,208.34328899999997,2.87633613,1798.790092,0.439918257,55.04343979,1.16147682e-05,1.8432354000000003e-06,1.3816435999999999,7752.417125999999,0.28310370999999995,0.75
222,MINFM28386,285.0,735.0,0.0,0.0,0.1,0.6,0.0,94.1899,0.3,0.0,0.0,0.0,3.2,0.0,0.17,0.0,0.0,207.48858899999996,2.87264113,1782.1974919999998,0.43770235699999993,55.01508523999999,1.16492282e-05,1.8115759000000002e-06,1.3770285999999996,7773.046725999999,0.28433071,0.7
223,MINFM28423,255.0,1350.0,0.0,0.0,0.27,0.9,0.0,94.0899,1.0,0.0,0.0,0.0,1.4,0.0,0.9,0.0,0.0,206.243689,2.9229891300000004,1785.1103919999998,0.440428957,54.668755995,1.1593878200000002e-05,9.137640900000001e-06,1.3745486,7699.401625999999,0.27909071,0.7
224,MINFM49244,98.5,295.0,0.0,0.0,0.0,16.0,0.0,79.0849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.509139,2.73053663,1770.654992,0.428426107,52.484338405,1.0116018200000002e-05,9.940489999999999e-08,1.3311886,7369.545026,0.26294621,0.0
225,MINFM28342,176.0,392.0,0.0,0.0,0.1,0.0,0.0,95.5099,0.3,0.0,0.0,0.0,2.8,0.0,0.15,0.0,0.0,207.79038899999998,2.8780791299999997,1786.042492,0.43870935699999997,55.199871939999994,1.1721468200000002e-05,1.6118459e-06,1.3814885999999997,7798.045525999999,0.28565871,0.7
226,MINFM28358,158.5,785.0,0.0,0.0,0.32,1.6,0.0,94.8499,0.4,0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.1,207.587789,2.8616211300000005,1789.2026919999998,0.438145757,54.739054425000006,1.15265082e-05,1.6355619e-06,1.3746386,7718.540526,0.28189471,0.7
227,MINFM49097,192.5,880.0,0.0,0.0,0.32,1.3,0.0,94.6299,0.5,0.2,0.0,0.0,1.3,0.0,0.15,0.0,0.0,207.61458900000002,2.8693971300000003,1789.1500919999999,0.43753015700000003,54.83216387000001,1.1548948200000002e-05,1.6365269e-06,1.3743585999999999,7728.441726,0.28180671,0.75
228,MINFM28536,119.5,445.0,0.0,0.0,0.0,4.0,0.0,92.0349,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.83413899999996,2.77077663,1762.1959919999997,0.42836410699999994,53.908463905,1.10777182e-05,9.736239999999999e-08,1.3510135999999997,7578.688025999999,0.27669620999999994,0.050000000000000044
231,MINFM28164,254.0,294.0,0.0,0.0,0.35,1.7,0.0,95.5299,0.6,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.1,207.70698899999996,2.86875413,1790.8836919999997,0.43852405699999997,54.702958925000004,1.15236982e-05,1.8415289e-06,1.3752886,7706.229826,0.28097670999999996,0.7
234,MINFM28202,165.5,716.0,0.0,0.0,0.55,0.9,0.0,96.4399,0.8,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.1,207.79108899999997,2.89675113,1800.9704919999997,0.441027357,54.92907711499999,1.1649478200000002e-05,1.8643029000000002e-06,1.3810285999999998,7740.237225999999,0.28193570999999995,0.7
238,MINFM28305,88.0,157.5,0.0,0.0,0.0,0.0,0.0,96.1099,1.0,0.0,0.0,0.04,0.7,0.0,0.0,0.0,0.0,206.21388899999997,2.87321413,1766.0153919999998,0.433745057,54.669970457000005,1.16546882e-05,1.1107469999999998e-07,1.3695685999999998,7708.177525999999,0.28104871,0.09999999999999987
272,MINFM47637,211.0,280.0,0.0,0.0,0.0,0.0,0.0,99.5199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.986989,2.85622113,1799.319792,0.440873157,55.576888155000006,1.1743348200000003e-05,9.951989999999999e-08,1.3932786,7836.196926,0.28860771,0.0
288,MINFM27649,105.5,206.0,0.0,0.0,0.42,0.0,0.0,96.9199,0.5,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,206.10198899999997,2.91163513,1797.8197919999996,0.443865357,54.81516481999999,1.16086682e-05,1.31461199e-05,1.3811186,7708.634325999999,0.28106770999999997,0.7
289,MINFM27702,126.5,440.0,0.0,0.0,0.33,0.0,0.0,96.7199,1.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,206.77398899999997,2.94516213,1796.5017919999996,0.443795457,54.96612246,1.17036782e-05,1.1145559900000001e-05,1.3838885999999997,7731.006025999999,0.28048770999999995,0.7
290,MINFM48441,146.0,440.0,0.0,0.0,0.42,0.0,0.0,95.7099,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,203.64288900000003,2.88776813,1779.3089919999998,0.439911057,54.19561132,1.1471088200000001e-05,1.5144909900000002e-05,1.3663786,7618.018926,0.27755871,0.7
300,MINFM26230,74.5,235.0,0.0,0.0,0.07,0.0,0.0,97.9899,0.6,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,207.946689,2.88385413,1784.0123919999999,0.438552957,55.108592915,1.1697978200000002e-05,1.4999999999999997e+20,1.3822485999999998,7765.071626,0.28417071,0.7
305,MINFM48535,197.0,294.0,0.0,0.0,0.14,0.8,0.0,96.8699,1.1,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,208.885389,2.91522513,1793.3438919999999,0.440475157,55.18184328,1.1722908200000003e-05,1.8277259000000002e-06,1.3856285999999998,7773.960725999999,0.28260271,0.7
309,MINFM27862,134.5,265.0,0.0,0.0,0.32,0.2,0.0,96.8599,1.5,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,207.98228899999998,2.93964413,1793.3270919999998,0.44069065699999993,55.10565362,1.17919082e-05,1.8507139000000004e-06,1.3839485999999996,7764.293925999999,0.28131370999999994,0.7
320,MINFM28492,134.5,490.0,0.0,0.0,0.15,14.0,0.0,82.0749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.238039,2.7641046300000003,1787.844192,0.432978307,53.132197955,1.0381488200000001e-05,1.148549e-07,1.3460986,7465.578125999999,0.26741720999999996,0.7
321,MINFM48841,111.5,440.0,0.0,0.0,0.18,1.2,0.0,96.2999,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.45,207.85178899999997,2.86134313,1792.8581919999997,0.43946685699999993,54.902559000000004,1.1545668200000001e-05,3.1210439e-06,1.3798335999999998,7729.3097259999995,0.28345470999999994,0.7
322,MINFM48861,126.5,540.0,0.0,0.0,0.17,1.2,0.0,96.0099,0.3,0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.45,207.991889,2.85239313,1791.9334920000001,0.437684057,54.93712918000001,1.15188382e-05,1.6198914e-06,1.3776785999999999,7728.453425999999,0.28338871,0.75
347,MINFM48975,246.5,457.5,0.0,0.0,0.35,0.95,0.0,95.7399,0.95,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.15,207.486689,2.89373513,1791.3798920000002,0.438419257,54.8483222325,1.16022582e-05,2.1460364000000006e-06,1.3765335999999997,7719.674226000001,0.28081571,0.75
350,MINFM48994,135.0,540.0,0.0,0.0,0.17,3.0,0.0,94.1049,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.45,209.840339,2.8601496299999996,1803.8975919999998,0.43900790700000003,55.06310448,1.13955482e-05,2.1204099000000004e-06,1.3803835999999998,7733.838726,0.28241921,0.75
352,MINFM48659,84.5,255.0,0.0,0.0,0.08,0.5,0.0,97.5599,0.4,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.2,208.36488899999998,2.86697013,1790.5014919999999,0.43913165699999995,55.115678645,1.1649748199999999e-05,1.6123549e-06,1.3833485999999997,7764.975125999999,0.28471371,0.7
359,MINFM7338,96.0,540.0,0.0,0.0,0.44,0.0,0.0,98.0349,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.03163899999998,2.92709963,1805.965992,0.4426700069999999,55.40475548,1.1838058200000001e-05,1.578749e-07,1.3909685999999999,7811.412825999999,0.28430120999999997,0.7
360,MINFM50408,80.0,275.0,0.6,0.0,0.0,17.0,0.0,66.0499,0.0,0.4,0.0,0.0,8.0,0.11,0.0,0.0,0.0,204.53128899999996,2.71524913,1711.947792,0.418210257,51.001296386599996,9.8566882e-06,1.0999999999999998e+20,1.2850985999999998,7186.6851259999985,0.25538470999999996,0.44999999999999996
361,MINFM7462,90.0,345.0,0.0,0.0,0.0,23.0,0.0,46.6749,0.0,0.0,0.0,0.0,19.0,0.0,1.5,0.0,0.0,201.359039,2.75221963,1686.967192,0.41372480699999997,49.597729405,9.219638200000001e-06,1.5089564900000003e-05,1.2484486,7044.851626,0.24255721,0.2999999999999998
370,MINFM7870,77.5,310.0,0.0,0.0,0.0,16.0,0.0,78.5599,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.86888899999997,2.73909413,1782.8379919999998,0.427982857,52.910702154999996,1.0090068200000001e-05,9.92924e-08,1.3347135999999997,7405.306525999999,0.26374871,0.050000000000000044
373,MINFM7850,307.0,434.5,0.0,0.0,0.17,0.35,0.0,95.7699,0.4,0.2,0.0,0.0,1.55,0.0,0.15,0.0,0.0,207.671489,2.86931013,1786.594292,0.437508357,55.048613325000005,1.1638068200000002e-05,1.6202004000000001e-06,1.3779436,7761.774826,0.28389271,0.75
375,MINFM7980,312.0,280.0,0.0,0.0,0.24,0.0,0.0,97.9349,0.7,0.35,0.0,0.0,0.0,0.0,0.15,0.0,0.0,209.25063899999998,2.9006996299999996,1803.0894919999998,0.44083000699999997,55.48305515,1.17459582e-05,1.6322074e-06,1.3892935999999998,7808.599826,0.28509620999999996,0.75
377,MINFM7988,80.0,310.0,0.0,0.0,0.0,18.0,0.9,72.9799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.37758899999997,2.6454131299999997,1715.085992,0.414605957,50.686837155,9.6421282e-06,9.59947e-08,1.2858686,7111.917325999999,0.25250171,0.04999999999999982
379,MINFM8014,138.5,379.0,0.0,0.0,0.17,0.0,0.0,96.3699,0.35,0.2,0.0,0.0,1.55,0.0,0.15,0.0,0.0,207.861989,2.8720051300000002,1789.2287919999999,0.438219857,55.174227952500004,1.1680868200000001e-05,1.6196359000000001e-06,1.3807435999999997,7780.293825999999,0.28489770999999997,0.75
381,MINFM7823,85.0,380.0,0.0,0.0,0.0,16.0,0.0,78.9699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.26648899999998,2.7272361299999996,1768.5757919999996,0.427916657,52.420116654999994,1.01024482e-05,9.928989999999998e-08,1.3295785999999998,7360.489926,0.26261270999999997,0.0
382,MINFM7831,307.0,434.5,0.0,0.0,0.17,0.4,0.0,95.8549,0.45,0.2,0.0,0.0,1.65,0.0,0.15,0.0,0.0,208.28933899999998,2.88115463,1791.680592,0.438810407,55.20824204750001,1.1674798200000002e-05,1.6211409000000002e-06,1.3818835999999999,7784.680726,0.28455421,0.75
384,MINFM6759,43.0,170.0,0.0,0.0,0.0,0.0,0.0,99.3349,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.190639,2.8775816300000003,1800.5259919999999,0.44148460700000003,55.63838904,1.1786618200000002e-05,1.0365489999999999e-07,1.3948885999999998,7844.040026,0.28807120999999997,0.0
385,MINFM6827,58.0,230.0,0.0,0.0,0.18,0.0,0.0,98.8049,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.666339,2.8954666300000005,1802.370592,0.441847507,55.528843935000005,1.1801958200000002e-05,1.2544489999999998e-07,1.3929285999999999,7828.798425999999,0.28653421,0.7
387,MINFM6814,55.5,205.0,0.0,0.0,0.18,0.0,0.0,99.1049,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.70533899999998,2.87740663,1803.2435919999998,0.441745507,55.531564800000005,1.17722582e-05,1.2142489999999997e-07,1.3929285999999999,7830.010426,0.28740421,0.7
388,MINFM6848,55.5,215.0,0.0,0.0,0.2,0.0,0.0,99.0849,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.663139,2.87754663,1803.645992,0.441799107,55.522797940000004,1.1771318200000001e-05,1.234049e-07,1.3927886,7828.889026,0.28734621,0.7
390,MINFM6846,60.5,235.0,0.0,0.0,0.18,0.0,0.0,98.7049,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.65333899999996,2.9014866299999995,1802.0795919999996,0.44188150699999995,55.52793698,1.1811858200000001e-05,1.267849e-07,1.3929285999999999,7828.394425999999,0.28624420999999994,0.7
392,MINFM6861,63.0,240.0,0.0,0.0,0.22,0.0,0.0,98.7549,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.560839,2.89545963,1802.994592,0.441910407,55.505725715,1.1798898200000001e-05,1.293949e-07,1.3925086,7825.768225999999,0.28638921,0.7
393,MINFM6799,58.0,224.0,0.0,0.0,0.15,0.0,0.0,98.7349,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.716639,2.90127663,1801.4759919999997,0.44180110699999997,55.54108727,1.1813268200000002e-05,1.2381489999999998e-07,1.3931386,7830.076525999999,0.28633120999999995,0.7
399,MINFM7043,91.5,475.0,0.0,0.0,0.6,0.0,0.0,98.4349,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.687639,2.89095163,1810.2079919999999,0.442717607,55.31772433,1.17664182e-05,1.656349e-07,1.3892886,7801.716026,0.28546120999999997,0.7
400,MINFM7047,96.0,495.0,0.0,0.0,0.65,0.0,0.0,98.2749,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.548039,2.89703463,1810.742192,0.44284130699999996,55.289315725,1.1772788200000002e-05,1.719149e-07,1.3887985999999999,7797.721126,0.28499721,0.7
402,MINFM7157,83.5,315.0,0.0,0.0,0.27,0.0,0.0,97.8399,1.35,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,209.115189,2.9460351300000003,1800.0476919999999,0.442375557,55.4384366525,1.18572282e-05,7.999999999999998e+19,1.3913486,7812.447626,0.28373571,0.7
404,MINFM7018,96.0,355.0,0.0,0.0,0.52,0.0,0.0,98.4349,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.88563899999997,2.89698563,1808.6689919999997,0.442625807,55.363053814999994,1.1782438200000001e-05,1.590749e-07,1.3901286,7807.372426,0.28546120999999997,0.7
411,MINFM8385,121.5,550.0,0.0,0.0,0.15,0.4,0.0,97.5449,0.7,0.15,0.0,0.0,0.4,0.0,0.15,0.0,0.0,209.68573899999998,2.9055936300000003,1802.2442919999996,0.441684407,55.50532802,1.1757148200000003e-05,1.6235034e-06,1.3913035999999999,7819.482925999999,0.28542521,0.75
415,MINFM8119,265.5,325.0,0.0,0.0,0.17,0.7,0.0,97.6049,0.7,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,209.355839,2.89786463,1799.244092,0.441407907,55.31854186,1.1719548200000001e-05,1.6255739e-06,1.3889086,7795.028726,0.28452421,0.7
