internal_id,avg_hardness,avg_yield,Al,As,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,Other,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
MITF400,35,105,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF390,30,90,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF790,100,295,91.3,0,0,0.2,0,0,0,0,0,5,0.7,0,0,0,0,0,0,0.15,0,0.2,0,0,0.4,0,0,0,0,0,0.3,0
MITF900,135,382.5,90.4,0,0,0,0,0,0,0,0.1,3.9,0.7,0.2,0.4,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF3840,150,442.5,86.9,0,0,0,0,0,0,0,0.18,1.2,0.5,2.1,0.3,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.2,0,0,5.1,0.25
MITF1660,52,157.5,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF1680,70,210,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF1700,45,65,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2190,41,122.5,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2760,105,405,93,0,0,0,0,0,0,0,0.05,0.1,0.4,4.5,0.05,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.1,0
MITF3680,95,255,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF3240,70,155,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF3250,62,105,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF3360,62,100,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF370,23,52.5,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF1010,120,317.5,90.7,0,0,0,0,0,0,0,0.1,3.8,0.5,1.2,0.3,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF2200,46,145,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2560,36,47.5,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
MITF2690,68,197.5,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF2710,77,235,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF3200,73,215,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF1460,35,105,96.8,0,0,0,0,0,0,0,0,0.05,0.7,0,1,0,0,0,0,0.15,0,0,0,0,0.6,0,0,0,0,0,0.1,0
MITF1670,63,185,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF3330,81,220,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF3830,60,105,86.9,0,0,0,0,0,0,0,0.18,1.2,0.5,2.1,0.3,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.2,0,0,5.1,0.25
MINFM7231,111.5,655,0,0,0,0,0.37,0,0,0,0,0,97.7299,0,1.35,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7285,60.5,235,0,0,0,0,0,0,0,0,0,0,97.9099,0,0.85,0,0,0,0,0,0.04,0.15,0.26,0,0,0,0,0,0,0,0,0
MINFM7373,160,240,0,0,0,0,0,0,0,0,17,0,67.0499,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7454,85,275,0,0,0,0,0,0,0,0,24,0,48.3449,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7376,160,240,0,0,0,0,0,0,0,0,17,0,67.5899,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM50412,85,275,0,0,0,0,0,0,0,0,22,0,57.8449,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7446,80,275,0,0,0,0,0,0,0,0,24,0,48.1749,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7521,80,240,0,0,0,0,0,0,0,0,17,0,64.0949,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7687,117.5,620,0,0,0,0,0,0,0,0,11.5,0,81.7799,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7563,293,393,0,0,0,0,0.2,0,0,0,0,0,98.1749,0,0.7,0.2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM7921,80,276,0,0,0,0,0,0,0,0,16,0,77.8599,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7827,130,655,0,0,0,0,0,0,0,0,15,0,78.2299,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7928,107.5,415,0,0,0,0,0.6,0,0,0,16,0,78.4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7927,107.5,415,0,0,0,0,0.6,0,0,0,16,0,78.4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM8058,382,472.5,0,0,0,0,0.18,0,0,0,0,0,95.0699,0,0.5,0.2,0,0,3.25,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM7808,110,380,0,0,0,0,0,0,0,0,12,0,82.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM50424,114,690,0,0,0,0,0,0,0,0,12,0,83.3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM8454,408.5,574.5,0,0,0,0,0.19,0,0,0,0.35,0,96.7999,0,0.6,0.15,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8079,408,569,0,0,0,0,0.17,0,0,0,0,0,94.5199,0,0.4,0.2,0,0,3.2,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8658,408.5,574.5,0,0,0,0,0.2,0,0,0,0.4,0,96.6749,0,0.75,0.3,0,0,0.4,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8039,336,367.5,0,0,0,0,0.15,0,0,0,0.3,0,96.2399,0,0.6,0.3,0,0,0.85,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8046,321,475.5,0,0,0,0,0.13,0,0,0,0,0,95.1599,0,0.4,0.2,0,0,3.25,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8047,341.5,535,0,0,0,0,0.13,0,0,0,0,0,95.1599,0,0.4,0.2,0,0,3.25,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8051,321,475.5,0,0,0,0,0.12,0,0,0,0,0,94.6699,0,0.3,0.2,0,0,3.2,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM50523,46,380,0,0,0,0,0,0,0,0,17,0,61.1799,0,11.5,0,0.2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM50470,332,930,0,0,0,0,0,0,0,0,14,2.5,71.4599,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM8390,281,386,0,0,0,0,0.18,0,0,0,0.4,0,98.4449,0,0.7,0.15,0,0,0.4,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM6785,58,340,0,0,0,0,0.15,0,0,0,0,0,99.1349,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6851,116,187.5,0,0,0,0,0.22,0,0,0,0,0,99.0549,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6968,85,325,0,0,0,0,0.43,0,0,0,0,0,98.4349,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6854,71.5,310,0,0,0,0,0.22,0,0,0,0,0,99.0549,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6867,63,345,0,0,0,0,0.28,0,0,0,0,0,98.6949,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6902,81.5,485,0,0,0,0,0.35,0,0,0,0,0,98.6149,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6901,74.5,285,0,0,0,0,0.35,0,0,0,0,0,98.6149,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7094,124,455,0,0,0,0,0.9,0,0,0,0,0,98.3949,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6904,89.5,510,0,0,0,0,0.37,0,0,0,0,0,98.4949,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6953,175,535,0,0,0,0,0.43,0,0,0,0,0,98.5349,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7117,68.5,400,0,0,0,0,0.14,0,0,0,0,0,98.3299,0,1,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM6955,175,482.5,0,0,0,0,0.43,0,0,0,0,0,98.5349,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM6846,60.5,235,0,0,0,0,0.18,0,0,0,0,0,98.7049,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7091,146.5,570,0,0,0,0,0.9,0,0,0,0,0,98.3949,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7141,135,397.5,0,0,0,0,0.14,0,0,0,0,0,98.0299,0,1.3,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7097,60.5,325,0,0,0,0,0.08,0,0,0,0,0,98.8999,0,0.5,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7144,63,370,0,0,0,0,0.14,0,0,0,0,0,98.0299,0,1.3,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7044,108.5,380,0,0,0,0,0.6,0,0,0,0,0,98.3349,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7142,147,432.5,0,0,0,0,0.14,0,0,0,0,0,98.0299,0,1.3,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7103,60.5,279,0,0,0,0,0.14,0,0,0,0,0,98.3299,0,1,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7050,96,505,0,0,0,0,0.7,0,0,0,0,0,98.3349,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7196,98.5,565,0,0,0,0,0.32,0,0,0,0,0,97.7899,0,1.35,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7024,89.5,372,0,0,0,0,0.55,0,0,0,0,0,98.3749,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM7227,205,637.5,0,0,0,0,0.37,0,0,0,0,0,97.7299,0,1.35,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM7264,98.5,365,0,0,0,0,0.4,0,0,0,0,0,97.4999,0,1.35,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
MINFM7195,89.5,330,0,0,0,0,0.32,0,0,0,0,0,97.7899,0,1.35,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
MINFM8663,408.5,574.5,0,0,0,0,0.19,0,0,0,0.35,0,96.5499,0,0.7,0.3,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8513,138.5,931,0,0,0,0,0.37,0,0,0,0.35,0,96.5099,0,0.7,0.15,0,0,0.35,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM8691,194,498.5,0,0,0,0,0.15,0,0,0,0.3,0,97.1749,0,0.75,0.08,0,0,0.3,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM50297,316.5,448,0,0,0,0,0.07,0,0,0,1,0,93.6699,0,0.4,0.08,0,0,2.95,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM50477,155.5,860,0,0,0,0,0,0,0,0,14,2.5,71.4599,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67297,192,205,0,0,0,0,0,0,0,0,19.5,0.5,51.4199,0,0,6,0.18,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67269,223,205,0,0,0,0,0,0,0,0,17,0,65.1449,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67280,223,205,0,0,0,0,0,0,0,0,16,0,61.7349,0,0,2,0.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67298,192,205,0,0,0,0,0,0,0,0,17,0,65.1449,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67254,160.5,505,0,0,0,0,0,0,0,0,16,0,61.6849,0,0,2,0.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67296,192,205,0,0,0,0,0,0,0,0,16,0,61.6849,0,0,2,0.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67292,321,225,0,0,0,0,0,0,0,0,16,0,61.8449,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66677,223,205,0,0,0,0,0,0,0,0,18,0,66.2349,0,0,0,0.1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66709,235,550,0,0,0,0,0.38,0,0,0,0.8,0,96.7749,0,0.75,0.15,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0
MINFM66687,223,205,0,0,0,0,0,0,0,0,17,0,64.8449,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66686,192,205,0,0,0,0,0,0,0,0,16,0,61.7349,0,0,2,0.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67224,321,517.5,0,0,0,0,0,0,0,0,18,0,66.3449,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM67275,271,380,0,0,0,0,0,0,0,0,20.5,0,51.8649,0,4,1.5,0.2,0,11.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0
MINFM66670,192,205,0,0,0,0,0,0,0,0,17,0,64.8449,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
MINFM66156,331,690,0,0,0,0,0,0,0,0,11.5,0,84.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
