internal_id,avg_hardness,avg_yield,composition_element,avg_composition
MITF480,28,90,Si,1
MITF480,28,90,Zn,0.1
MITF3620,73,192.5,Al,98.45
MITF3620,73,192.5,Cr,0.1
MITF3620,73,192.5,Cu,0.1
MITF3620,73,192.5,Fe,0.35
MITF3620,73,192.5,Mg,0.675
MITF3620,73,192.5,Mn,0.1
MITF3620,73,192.5,Other,0.15
MITF3620,73,192.5,Si,0.4
MITF3620,73,192.5,Ti,0.1
MITF3620,73,192.5,Zn,0.1
MITF3320,73,192.5,Al,95.8
MITF3320,73,192.5,Cr,0.125
MITF3320,73,192.5,Cu,0.1
MITF3320,73,192.5,Fe,0.4
MITF3320,73,192.5,Mg,2.7
MITF3320,73,192.5,Mn,0.75
MITF3320,73,192.5,Other,0.15
MITF3320,73,192.5,Si,0.25
MITF3320,73,192.5,Ti,0.2
MITF3320,73,192.5,Zn,0.25
MITF2180,36,100,Al,98.25
MITF2180,36,100,Cr,0.1
MITF2180,36,100,Cu,0.2
MITF2180,36,100,Fe,0.7
MITF2180,36,100,Mg,0.8
MITF2180,36,100,Mn,0.2
MITF2180,36,100,Other,0.15
MITF2180,36,100,Si,0.3
MITF2180,36,100,Zn,0.25
MITF2210,51,185,Al,98.25
MITF2210,51,185,Cr,0.1
MITF2210,51,185,Cu,0.2
MITF2210,51,185,Fe,0.7
MITF2210,51,185,Mg,0.8
MITF2210,51,185,Mn,0.2
MITF2210,51,185,Other,0.15
MITF2210,51,185,Si,0.3
MITF2210,51,185,Zn,0.25
MITF2670,60,177.5,Al,96.75
MITF2670,60,177.5,Cr,0.25
MITF2670,60,177.5,Cu,0.1
MITF2670,60,177.5,Fe,0.4
MITF2670,60,177.5,Mg,2.5
MITF2670,60,177.5,Mn,0.1
MITF2670,60,177.5,Other,0.15
MITF2670,60,177.5,Si,0.25
MITF2670,60,177.5,Zn,0.1
MITF3140,63,100,Al,95.6
MITF3140,63,100,Cr,0.25
MITF3140,63,100,Cu,0.1
MITF3140,63,100,Fe,0.4
MITF3140,63,100,Mg,3.5
MITF3140,63,100,Mn,0.1
MITF3140,63,100,Other,0.15
MITF3140,63,100,Si,0.25
MITF3140,63,100,Ti,0.2
MITF3140,63,100,Zn,0.2
MITF1480,47,157.5,Al,97.9
MITF1480,47,157.5,Cu,0.125
MITF1480,47,157.5,Fe,0.7
MITF1480,47,157.5,Mn,1.25
MITF1480,47,157.5,Other,0.15
MITF1480,47,157.5,Si,0.6
MITF1480,47,157.5,Zn,0.1
MITF1550,28,37.5,Al,97.9
MITF1550,28,37.5,Cu,0.125
MITF1550,28,37.5,Fe,0.7
MITF1550,28,37.5,Mn,1.25
MITF1550,28,37.5,Other,0.15
MITF1550,28,37.5,Si,0.6
MITF1550,28,37.5,Zn,0.1
MITF510,44,145,Al,99.5
MITF510,44,145,Cu,0.125
MITF510,44,145,Fe,1
MITF510,44,145,Mn,0.05
MITF510,44,145,Other,0.15
MITF510,44,145,Si,1
MITF510,44,145,Zn,0.1
MITF1000,47,75,Al,92.7
MITF1000,47,75,Cr,0.1
MITF1000,47,75,Cu,4.35
MITF1000,47,75,Fe,0.5
MITF1000,47,75,Mg,1.5
MITF1000,47,75,Mn,0.6
MITF1000,47,75,Other,0.15
MITF1000,47,75,Si,0.5
MITF1000,47,75,Ti,0.15
MITF1000,47,75,Zn,0.25
MITF1000,47,75,Zr,0.2
MITF2520,46,127.5,Al,97.6
MITF2520,46,127.5,Cr,0.1
MITF2520,46,127.5,Cu,0.2
MITF2520,46,127.5,Fe,0.7
MITF2520,46,127.5,Mg,1.45
MITF2520,46,127.5,Mn,0.1
MITF2520,46,127.5,Other,0.15
MITF2520,46,127.5,Si,0.4
MITF2520,46,127.5,Zn,0.25
MITF2540,58,165,Al,97.6
MITF2540,58,165,Cr,0.1
MITF2540,58,165,Cu,0.2
MITF2540,58,165,Fe,0.7
MITF2540,58,165,Mg,1.45
MITF2540,58,165,Mn,0.1
MITF2540,58,165,Other,0.15
MITF2540,58,165,Si,0.4
MITF2540,58,165,Zn,0.25
MITF2550,63,182.5,Al,97.6
MITF2550,63,182.5,Cr,0.1
MITF2550,63,182.5,Cu,0.2
MITF2550,63,182.5,Fe,0.7
MITF2550,63,182.5,Mg,1.45
MITF2550,63,182.5,Mn,0.1
MITF2550,63,182.5,Other,0.15
MITF2550,63,182.5,Si,0.4
MITF2550,63,182.5,Zn,0.25
MITF2720,47,77.5,Al,96.75
MITF2720,47,77.5,Cr,0.25
MITF2720,47,77.5,Cu,0.1
MITF2720,47,77.5,Fe,0.4
MITF2720,47,77.5,Mg,2.5
MITF2720,47,77.5,Mn,0.1
MITF2720,47,77.5,Other,0.15
MITF2720,47,77.5,Si,0.25
MITF2720,47,77.5,Zn,0.1
MITF2800,100,345,Al,94.2
MITF2800,100,345,Cr,0.125
MITF2800,100,345,Cu,0.1
MITF2800,100,345,Fe,0.4
MITF2800,100,345,Mg,5.05
MITF2800,100,345,Mn,0.125
MITF2800,100,345,Other,0.15
