,internal_id,avg_hardness,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio,electronegativity,max_min_radius
2088,MINFM67658,90.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.323,0.4303,310.59,0.070812,7.798287500000001,8.050999999999999e-07,1.7975e-08,0.20539999999999997,1073.54,0.03207,0.24752,0.09999999999999987
2089,MINFM67502,103.5,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,86.6449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.11573900000002,2.7891086300000003,1790.1897920000001,0.435076907,53.846434905,1.0738598200000002e-05,9.997990000000001e-08,1.3600286,7572.119426,0.27332021,1.75990167,0.0
2090,MINFM67515,103.5,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,85.2799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.025589,2.77873313,1786.8105919999998,0.433909957,53.604111655,1.06265282e-05,9.988489999999999e-08,1.3549186,7536.039326,0.27146170999999997,1.75152217,0.0
2091,MINFM51164,95.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9699,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,206.61758899999998,2.83285113,1772.3614919999998,0.435053457,54.822377825,1.1599848200000002e-05,1.3974314999999999e-06,1.3724135999999998,7740.531325999999,0.28460570999999996,1.79749217,0.2999999999999998
2092,MINFM52320,225.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,80.1699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.24348899999998,2.6320761299999997,1694.4217919999999,0.411272657,50.750432155,1.0023548200000001e-05,9.47749e-08,1.2833785999999998,7133.677925999999,0.25664271,1.6580091700000001,0.0
2093,MINFM66261,183.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,81.0599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.096389,2.72961913,1763.762992,0.427415357,52.547355155,1.02510682e-05,9.88399e-08,1.3308385999999999,7382.256526,0.26447371,1.71579617,0.0
2094,MINFM66198,201.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,67.9249,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.75153899999998,2.72064463,1728.262192,0.41930730699999996,51.467469405,9.920138199999999e-06,9.527489999999999e-08,1.2969486,7274.846625999999,0.25748220999999993,1.67802567,0.04999999999999982
2095,MINFM66205,183.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,65.0549,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.695839,2.72627563,1719.5225919999998,0.417668207,51.332052905000005,9.916478200000002e-06,9.42049e-08,1.2905186,7271.562826,0.25690921,1.6732546700000002,0.04999999999999982
2096,MINFM66211,217.0,205.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,22.0,0.0,58.0749,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.918039,2.72417763,1727.242192,0.41807620700000003,50.91908218500001,9.5416782e-06,9.865489999999999e-08,1.2833286,7213.484426,0.25181721,1.65819067,0.7
2097,MINFM66229,217.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,54.5449,0.0,0.0,4.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.469739,2.68503863,1718.1817919999999,0.39931890699999995,51.581106405,9.319298200000002e-06,8.93249e-08,1.2558786,7193.845425999999,0.25023021,1.64122167,0.09999999999999987
