,internal_id,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio
29,MITF3140,100.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.975805,932.5655600000001,0.8883205,26.9406513834,2.2237450000000002e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.342345
30,MITF1480,157.5,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,71.67199999999998,4.066434999999999,942.92303,0.8838695,27.3241198148,2.2714449999999997e-05,6.041304600000001e-06,1.242425,2768.9979999999996,0.34125
31,MITF1550,37.5,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,71.67199999999998,4.066434999999999,942.92303,0.8838695,27.3241198148,2.2714449999999997e-05,6.041304600000001e-06,1.242425,2768.9979999999996,0.34125
32,MITF510,145.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,72.152,4.1014100000000004,961.20453,0.903279,27.6756792365,2.3062299999999998e-05,1.0028518600000001e-05,1.265225,2790.375,0.34981999999999996
33,MITF1000,75.0,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.8,0.5,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.71300000000001,3.937635,942.316625,0.8531955,28.232897245199997,2.19189e-05,5.0322336e-06,1.229725,2926.9184999999998,0.33729499999999996
34,MITF2520,127.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,70.577,4.00291,936.582525,0.8865930000000001,27.1513823168,2.25636e-05,4.0289363999999996e-06,1.2433249999999998,2733.9559999999997,0.34378499999999995
35,MITF2540,165.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,70.577,4.00291,936.582525,0.8865930000000001,27.1513823168,2.25636e-05,4.0289363999999996e-06,1.2433249999999998,2733.9559999999997,0.34378499999999995
36,MITF2550,182.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,70.577,4.00291,936.582525,0.8865930000000001,27.1513823168,2.25636e-05,4.0289363999999996e-06,1.2433249999999998,2733.9559999999997,0.34378499999999995
37,MITF2720,77.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.866,3.995055,932.77783,0.8902614999999999,26.9385049238,2.2439649999999998e-05,2.5289417e-06,1.24505,2696.397,0.343745
38,MITF2800,345.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.4,4.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,68.5865,3.9508750000000004,925.7988300000001,0.8882615,26.6766144705,2.1966999999999998e-05,3.0283507e-06,1.2429999999999999,2651.061,0.340405
